Transaction Date,Description,Type,Amount,Memo
3/3/2025,WSJ DIGITAL,,11.95,
3/4/2025,GOOGLE*GOOGLE STORAGE,,9.99,
3/8/2025,POS PURCHASE REI #01234 SEATTLE WA,,38.83,
3/8/2025,PURCHASE PAPER SOURCE,,25.38,
3/11/2025,FOOTLOCKER #1234 CITY NAME,,86.89,
3/11/2025,STAPLES 1234 PURCHASE,,5,
3/13/2025,LOWE'S  STORE #1234,,36.9,
3/16/2025,WALGREENS #1234,,12.66,
3/16/2025,DISCOUNT CONTACTS PURCHASE,,18.08,
3/17/2025,OUTBACK STEAKHOUSE #1234 CITY ST,,39.32,
3/17/2025,ACE HARDWARE PURCHASE,,10,
3/17/2025,BUFFALO WILD WINGS #1234,,25.26,
3/18/2025,WALGREENS #12345,,51.68,
3/18/2025,POS PURCHASE STAPLES 555123 ANYTOWN,,17.43,
3/21/2025,ACE HARDWARE PURCHASE,,28.25,
3/21/2025,POS PURCHASE LOWE'S 1234 CITY ST,,51.39,
3/22/2025,AUTOZONE #1234 PURCHASE,,31.1,
3/22/2025,PURCHASE BANANA REPUBLIC 1234 ANYTOWN,,88.68,
3/24/2025,BARBER'S CORNER HAIRCUT,,27.02,
3/27/2025,STARBUCKS 12345 SEATTLE WA,,9.4,
3/31/2025,Mobile Payment - Thank You,Payment,-625.21,